tag,count
pop,435
female vocalists,213
american,169
dance,128
singer-songwriter,124
indie,121
electronic,100
indie pop,100
pop rock,99
rnb,91
electropop,79
alternative,77
rock,61
male vocalists,60
british,54
my top songs,51
Hip-Hop,51
USA,47
soul,43
acoustic,43
islam jihad,42
jihad islam,41
hip hop,35
taliban approved,35
House,34
country,34
r&b,33
teen pop,33
rap,32
synthpop,31
taylor swift,30
EDM,29
the mind of the believer,29
country pop,28
dream pop,28
jihad,26
snake,24
dance-pop,23
female vocalist,23
youth with a mission,22
christian religion,21
folk,21
love at first listen,21
electro house,20
repulsed by love,20
Disney,19
davidrea,18
Rea,18
david,18
electronica,16
Canadian,16
the religious impulse,16
indie rock,15
trip-hop,14
Ballad,14
Love,14
bowling for bibles,14
Disco,13
sexy,13
pop punk,13
christian taliban,13
alternative rnb,13
UK,13
hate group,13
sadcore,13
alternative rock,12
trap,12
2010s,12
dance pop,12
Rihanna,12
muhammad had a penis,11
art pop,11
vineyard,11
dutch,11
christian jihad,11
reggae,11
vagina haters,11
alt-pop,11
Progressive House,10
fahtah,10
00,10
0,10
jesus had a penis,10
Soundtrack,10
swedish,10
one direction,10
biggie had a penis,9
Selena Gomez,9
norwegian,9
All,9
australian,9
soft rock,9
piano,9
sad,9
katy perry,9
ambient pop,9
k-pop,9
X factor,8
Ariana Grande,8
Sweden,8
guilty pleasure,8
Kazakhstan,8
misc,8
jazz,8
2021,7
latin,7
french,7
dubstep,7
nu-disco,7
Bruno Mars,7
bts,7
croatian,7
religiosity,7
canada,7
future bass,7
better than selena gomez,7
2014,7
2020s,7
boyband,6
hate crimes,6
contemporary rnb,6
pop rap,6
Kpop,6
Norway,6
downtempo,6
female,6
electro,6
nickelodeon,6
2015,6
90s,6
big room,6
comedy,6
german,6
nord-sud muziki-TV,5
funny,5
woya,5
Ouest Africa,5
cote d ivoire,5
Super groupe,5
Abidjan,5
United States,5
divo,5
fanfare,5
ambiance,5
HYBE Labels,5
queer,5
cute,5
netherlands,5
folktronica,5
techno,5
8-bit,5
Demi Lovato,5
us,5
chiptune,5
dungeon-synth,5
Ava Max,5
dj,5
