spotify_id,track_name,artist_name,lastfm_listeners,lastfm_playcount,duration_ms,tags,like_prob
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,SZA,1152075,19268312,0,"alternative rnb,pop rap,rnb,2017,trap,neo-soul,trap soul,sza,love,soul,electronic,female vocalists,alternative,american,pop",0.9998791370499824
7qUBGRnOfmAaaCC5ZAqPCG,Circles,Mariah Carey,109942,1190970,210000,"pop,rnb,female vocalists,soul,mariah carey,90s,dance,singer-songwriter,american,diva",0.9996360816700789
0KQx6HOpJueiSkztcS0r7D,Fallin',Alicia Keys,1009988,5680148,210000,"soul,rnb,female vocalists,piano,pop,alicia keys,r&b,00s,love,2001,singer-songwriter,american,neo-soul",0.9993467818311301
2FNPJWVdGxYhWaotd6rULS,Sandcastles,Beyoncé,291992,2658073,183000,"rnb,pop,female vocalists,soul,hip-hop,beyonce,r&b,american,dance,diva",0.999159585796433
6SkGfPa77E4giShVbk9N6R,Soon as I Get Home,Faith Evans,173493,755268,324000,"rnb,soul,female vocalists,hip-hop,pop,faith evans,r&b,hip hop,90s,american",0.998998414948534
2br377aSsnmO1ygH7eS6wJ,You Are My Joy (Interlude),Faith Evans,12329,65093,68000,"rnb,soul,female vocalists,hip-hop,pop,faith evans,r&b,hip hop,90s,american",0.998998414948534
0bxmVPKnEopTyuMMkaTvUb,Issues/Hold On,Teyana Taylor,194439,1493219,185000,"rnb,hip-hop,pop,female vocalists,hip hop,r&b,neo-soul,american,contemporary rnb,harlem",0.9983956116127889
4GCGH6TJ69neckwITeBFXK,Earth Song,Michael Jackson,615370,3660225,407000,"pop,michael jackson,90s,king of pop,male vocalists,teardrops,soul,personal,i wish i could make a video for this,running,80s,dance,funk,legend,american",0.9983121573662086
13toFl1UwJPsRxDiD9jgtn,As,Stevie Wonder,392572,2234042,428000,"soul,motown,70s,funk,stevie wonder,rnb,classic,pop,rb,smooth soul,rhythm and blues,rock,singer-songwriter,american",0.9981827354596182
6iFDEchx7A9uPI7n6yBSN8,Apollo Eighteen,Khamari,37158,170958,251000,"boston,rnb,pop,soul,usa,singer-songwriter,american,united states,america,us",0.9957313660749116
